name,value,Specific Action of the Ligand,Notes
Mechanism of Action,Protein-tyrosine phosphatase 2C inhibitor,Inhibition,
Mechanism of Action,Nuclear factor NF-kappa-B complex inhibitor,Inhibition,
Mechanism of Action,Bcr/Abl fusion protein inhibitor,Inhibition,
Mechanism of Action,Cholecystokinin A receptor agonist,Agonist,
Mechanism of Action,FK506-binding protein 1A inhibitor,Inhibition,
Mechanism of Action,Adenosine deaminase inhibitor,Inhibition,
Mechanism of Action,Retinoic acid receptor agonist,Agonist,
Mechanism of Action,Interleukin-6 receptor alpha subunit inhibitor,Inhibition,
Mechanism of Action,Fibroblast growth factor receptor 1 inhibitor,Inhibition,
Mechanism of Action,Monoamine oxidase B inhibitor,Inhibition,
Mechanism of Action,NAD-dependent deacetylase sirtuin 1 activator,Activation,
Mechanism of Action,GTPase KRas inhibitor,Inhibition,
Mechanism of Action,G protein-coupled receptor 44 antagonist,Antagonist,
Mechanism of Action,Fibrinogen positive modulator,Positive modulator,
Mechanism of Action,MEK inhibitor,Inhibition,
Mechanism of Action,p53 activator,Activation,
Mechanism of Action,PI3K/mTOR inhibitor,Inhibition,
Mechanism of Action,Dopamine transporter inhibitor,Inhibition,
Mechanism of Action,Acetylcholinesterase inhibitor,Inhibition,
Mechanism of Action,"Sulfonylurea receptor 1, Kir6.2 blocker",Blocker,
Mechanism of Action,B-lymphocyte antigen CD20 binding agent,Binding agent,
Mechanism of Action,Endothelin receptor ET-B antagonist,Antagonist,
Mechanism of Action,Sclerostin inhibitor,Inhibition,
Mechanism of Action,Purinergic receptor P2Y2 agonist,Agonist,
Mechanism of Action,Fibrinogen hydrolytic enzyme,Binding,
Mechanism of Action,T-cell surface antigen CD2 inhibitor,Inhibition,
Mechanism of Action,Glucagon-like peptide 2 receptor agonist,Agonist,
Mechanism of Action,CAMPATH-1 antigen inhibitor,Inhibition,
Mechanism of Action,T cell surface glycoprotein CD3 inhibitor,Inhibition,
Mechanism of Action,Oxytocin receptor antagonist,Antagonist,
Mechanism of Action,Cannabinoid CB1 receptor agonist,Agonist,
Mechanism of Action,Interferon lambda receptor agonist,Agonist,
Mechanism of Action,Granulocyte-macrophage colony-stimulating factor receptor antagonist,Antagonist,
Mechanism of Action,Thioredoxin reductase 1 inhibitor,Inhibition,
Mechanism of Action,Myelin-associated glycoprotein inhibitor,Inhibition,
Mechanism of Action,Angiotensinogen hydrolytic enzyme,Binding,
Mechanism of Action,"AMP-activated protein kinase, AMPK activator",Activation,
Mechanism of Action,Coagulation factor X inhibitor,Inhibition,
Mechanism of Action,T-lymphocyte activation antigen CD86 inhibitor,Inhibition,
Mechanism of Action,Interleukin-5 inhibitor,Inhibition,
Mechanism of Action,LXR-alpha modulator,Modulator,
Mechanism of Action,PI3-kinase p110-gamma subunit inhibitor,Inhibition,
Mechanism of Action,Bile acid transporter inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase Chk1 inhibitor,Inhibition,
Mechanism of Action,Frizzled-2 antagonist,Antagonist,
Mechanism of Action,Glutamate [NMDA] receptor positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Adrenergic receptor alpha-2 antagonist,Antagonist,
Mechanism of Action,Granulocyte-macrophage colony-stimulating factor inhibitor,Inhibition,
Mechanism of Action,Mucin-1 binding agent,Binding agent,
Mechanism of Action,Leukotriene B4 receptor inhibitor,Inhibition,
Mechanism of Action,GABA-A receptor; agonist GABA site positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Tyrosine-protein kinase JAK1 inhibitor,Inhibition,
Mechanism of Action,T cell surface glycoprotein CD3 binding agent,Binding agent,
Mechanism of Action,Serotonin 2c (5-HT2c) receptor antagonist,Antagonist,
Mechanism of Action,"1,3-beta-glucan synthase inhibitor",Inhibition,
Mechanism of Action,Synaptic vesicular amine transporter inhibitor,Inhibition,
Mechanism of Action,MAP kinase ERK2 inhibitor,Inhibition,
Mechanism of Action,Serotonin 1d (5-HT1d) receptor antagonist,Antagonist,
Mechanism of Action,Metabotropic glutamate receptor 3 modulator,Modulator,
Mechanism of Action,Metabotropic glutamate receptor 5 antagonist,Antagonist,
Mechanism of Action,Serotonin 6 (5-HT6) receptor antagonist,Antagonist,
Mechanism of Action,T-cell receptor antagonist,Antagonist,
Mechanism of Action,Hypoxia-inducible factor prolyl hydroxylase inhibitor,Inhibition,
Mechanism of Action,ICOS ligand inhibitor,Inhibition,
Mechanism of Action,Muscarinic acetylcholine receptor M2 positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,ErbB-2/ErbB-3 heterodimer inhibitor,Inhibition,
Mechanism of Action,Galectin-3 inhibitor,Inhibition,
Mechanism of Action,Mitogen-activated protein kinase; ERK1/ERK2 inhibitor,Inhibition,
Mechanism of Action,Nerve growth factor receptor Trk-A,Binding,
Mechanism of Action,Programmed cell death protein 1 inhibitor,Inhibition,
Mechanism of Action,Cell division cycle 7-related protein kinase inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 5 agonist,Agonist,
Mechanism of Action,Estrogen receptor alpha agonist,Agonist,
Mechanism of Action,Adrenergic receptor beta agonist,Agonist,
Mechanism of Action,Muscle-type nicotinic acetylcholine receptor partial agonist,Partial agonist,
Mechanism of Action,Transmembrane glycoprotein gp41 inhibitor,Inhibition,
Mechanism of Action,Retinoid X receptor agonist,Agonist,
Mechanism of Action,Vanilloid receptor antagonist,Antagonist,
Mechanism of Action,Calcium sensing receptor agonist,Agonist,
Mechanism of Action,Envelope glycoprotein gp160 inhibitor,Inhibition,
Mechanism of Action,Monoamine oxidase A inhibitor,Inhibition,
Mechanism of Action,Programmed cell death 1 ligand 2 cross-linking agent,Cross-linking agent,
Mechanism of Action,Retinoic acid receptor beta agonist,Agonist,
Mechanism of Action,Human immunodeficiency virus type 1 protease inhibitor,Inhibition,
Mechanism of Action,Dopamine D3 receptor antagonist,Antagonist,
Mechanism of Action,T-cell immunoreceptor with Ig and ITIM domains inhibitor,Inhibition,
Mechanism of Action,Lymphocyte activation gene 3 protein inhibitor,Inhibition,
Mechanism of Action,Interleukin 17A inhibitor,Inhibition,
Mechanism of Action,Coagulation factor IX positive modulator,Positive modulator,
Mechanism of Action,Matrix metalloproteinase 8 inhibitor,Inhibition,
Mechanism of Action,Folate-targeted tubulin inhibitor,Inhibition,
Mechanism of Action,Maltase-glucoamylase inhibitor,Inhibition,
Mechanism of Action,Opioid receptors; mu/kappa/delta antagonist,Antagonist,
Mechanism of Action,Phosphodiesterase 7 inhibitor,Inhibition,
Mechanism of Action,Toll-like receptor 7 antagonist,Antagonist,
Mechanism of Action,Muscle-type nicotinic acetylcholine receptor agonist,Agonist,
Mechanism of Action,70S ribosome inhibitor,Inhibition,
Mechanism of Action,Angiotensin-converting enzyme inhibitor,Inhibition,
Mechanism of Action,Cyclin-dependent kinase 4 inhibitor,Inhibition,
Mechanism of Action,Dopamine D2 receptor modulator,Modulator,
Mechanism of Action,c-Jun N-terminal kinase 3 inhibitor,Inhibition,
Mechanism of Action,Metabotropic glutamate receptor 5 modulator,Modulator,
Mechanism of Action,Orexin receptor 1 antagonist,Antagonist,
Mechanism of Action,T-cell surface antigen CD4 negative modulator,Negative modulator,
Mechanism of Action,Transient receptor potential cation channel subfamily M member 8 inhibitor,Inhibition,
Mechanism of Action,Cholecystokinin A receptor antagonist,Antagonist,
Mechanism of Action,Galectin-1 inhibitor,Inhibition,
Mechanism of Action,Ephrin type-A receptor 2,Binding,
Mechanism of Action,Cardiac myosin activator,Activation,
Mechanism of Action,Peroxisome proliferator-activated receptor delta agonist,Agonist,
Mechanism of Action,P2X purinoceptor 3 antagonist,Antagonist,
Mechanism of Action,Ig epsilon chain C region inhibitor,Inhibition,
Mechanism of Action,Feedback inhibition,Feedback inhibition,
Mechanism of Action,Fibroblast growth factor receptor 2 agonist,Agonist,
Mechanism of Action,ALK tyrosine kinase receptor inhibitor,Inhibition,
Mechanism of Action,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor),Binding,
Mechanism of Action,Neuronal acetylcholine receptor; alpha4/beta2 agonist,Agonist,
Mechanism of Action,Alanine racemase inhibitor,Inhibition,
Mechanism of Action,Adrenergic receptor antagonist,Antagonist,
Mechanism of Action,Retinoid receptor modulator,Modulator,
Mechanism of Action,LXR-alpha agonist,Agonist,
Mechanism of Action,MAP kinase p38 alpha inhibitor,Inhibition,
Mechanism of Action,Dopamine D3 receptor agonist,Agonist,
Mechanism of Action,Voltage-gated potassium channel subunit Kv7.5 activator,Activation,
Mechanism of Action,Glutamate carboxypeptidase II other,Binding,
Mechanism of Action,Orexin receptor antagonist,Antagonist,
Mechanism of Action,Leukocyte elastase inhibitor,Inhibition,
Mechanism of Action,Nitric oxide synthase inhibitor,Inhibition,
Mechanism of Action,Mannan-binding lectin serine protease 2 inhibitor,Inhibition,
Mechanism of Action,Inhibin beta A chain inhibitor,Inhibition,
Mechanism of Action,ALK1 inhibitor,Inhibition,
Mechanism of Action,Dopamine transporter releasing agent,Releasing agent,
Mechanism of Action,Pepsin A inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase B-raf inhibitor,Inhibition,
Mechanism of Action,Phosphodiesterase 3A inhibitor,Inhibition,
Mechanism of Action,Cannabinoid CB2 receptor agonist,Agonist,
Mechanism of Action,Voltage-gated potassium channel subunit Kv7.4 activator,Activation,
Mechanism of Action,Voltage-gated potassium channel KCNQ3/KCNQ4 activator,Activation,
Mechanism of Action,Apoptosis regulator Bcl-2 inhibitor,Inhibition,
Mechanism of Action,Fibroblast growth factor 23 inhibitor,Inhibition,
Mechanism of Action,Neural cell adhesion molecule 1 binding agent,Binding agent,
Mechanism of Action,Potassium-transporting ATPase blocker,Blocker,
Mechanism of Action,Complement C3 inhibitor,Inhibition,
Mechanism of Action,IL-33 receptor (ST2) inhibitor,Inhibition,
Mechanism of Action,Androgen Receptor degrader,Degrader,
Mechanism of Action,Synaptic vesicle glycoprotein 2A modulator,Modulator,
Mechanism of Action,Multi-targeted RTK inhibitor,Inhibition,
Mechanism of Action,Acetylcholinesterase activator,Activation,
Mechanism of Action,Neuraminidase inhibitor,Inhibition,
Mechanism of Action,Potassium channel subfamily K member 3 opener,Opener,
Mechanism of Action,Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor,Inhibition,
Mechanism of Action,Bradykinin B1 receptor antagonist,Antagonist,
Mechanism of Action,Metabotropic glutamate receptor 3 agonist,Agonist,
Mechanism of Action,Calcitonin receptor agonist,Agonist,
Mechanism of Action,Toll-like receptor 3 activator,Activation,
Mechanism of Action,Neprilysin inhibitor,Inhibition,
Mechanism of Action,"Caspase activator, XIAP inhibitor, FLIP suppressor, and TOPO II inhibitor",Inhibition,
Mechanism of Action,Muscarinic acetylcholine receptor M3 agonist,Agonist,
Mechanism of Action,"Sulfonylurea receptor 2, Kir6.2 opener",Opener,
Mechanism of Action,Mitogen-activated protein kinase kinase kinase 5 inhibitor,Inhibition,
Mechanism of Action,Vitamin D receptor agonist,Agonist,
Mechanism of Action,Relaxin receptor 2 activator,Activation,
Mechanism of Action,Heat shock protein 90 homolog inhibitor,Inhibition,
Mechanism of Action,Purine nucleoside phosphorylase inhibitor,Inhibition,
Mechanism of Action,Alpha glucosidase inhibitor,Inhibition,
Mechanism of Action,Insulin-like growth factor I receptor antagonist,Antagonist,
Mechanism of Action,T-cell surface antigen CD4 inhibitor,Inhibition,
Mechanism of Action,Oxytocin receptor agonist,Agonist,
Mechanism of Action,Complement receptor type 1 inhibitor,Inhibition,
Mechanism of Action,Macrophage-stimulating protein receptor inhibitor,Inhibition,
Mechanism of Action,Proteinase activated receptor 4 antagonist,Antagonist,
Mechanism of Action,Bcr/Abl fusion protein,Binding,
Mechanism of Action,Estrogen receptor alpha degrader,Degrader,
Mechanism of Action,Melanoma-associated antigen 3 vaccine antigen,Vaccine antigen,
Mechanism of Action,RSPO3-LGR4 inhibitor,Inhibition,
Mechanism of Action,Aldehyde dehydrogenase inhibitor,Inhibition,
Mechanism of Action,Histamine H2 receptor antagonist,Antagonist,
Mechanism of Action,GABA A receptor alpha-1/beta-1/gamma-2 positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Adenosine A2b receptor antagonist,Antagonist,
Mechanism of Action,Dual specificity protein kinase TTK inhibitor,Inhibition,
Mechanism of Action,Estrogen receptor beta agonist,Agonist,
Mechanism of Action,"c-Jun N-terminal kinase, JNK inhibitor",Inhibition,
Mechanism of Action,Neuronal acetylcholine receptor; alpha3/beta4 agonist,Agonist,
Mechanism of Action,Mitogen-activated protein kinase kinase kinase 10 inhibitor,Inhibition,
Mechanism of Action,Calcium-activated potassium channel subunit alpha-1 opener,Opener,
Mechanism of Action,T-cell surface glycoprotein CD3 epsilon chain cross-linking agent,Cross-linking agent,
Mechanism of Action,CRL4(CRBN) E3 ubiquitin ligase modulator,Modulator,
Mechanism of Action,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist,Partial agonist,
Mechanism of Action,BRAF kinase inhibitor,Inhibition,
Mechanism of Action,Adenosine A1 receptor antagonist,Antagonist,
Mechanism of Action,Keap1/Nrf2 inhibitor,Inhibition,
Mechanism of Action,Dopamine receptors; D2 & D3 partial agonist,Partial agonist,
Mechanism of Action,Mucin-5AC other,Binding,
Mechanism of Action,Dopamine D1 and D2 receptor agonist,Agonist,
Mechanism of Action,GABA-B receptor antagonist,Antagonist,
Mechanism of Action,Microsomal triglyceride transfer protein inhibitor,Inhibition,
Mechanism of Action,Muscarinic acetylcholine receptor M4 agonist,Agonist,
Mechanism of Action,Protransforming growth factor alpha inhibitor,Inhibition,
Mechanism of Action,Toll-like receptor 9 antagonist,Antagonist,
Mechanism of Action,von Willebrand factor positive modulator,Positive modulator,
Mechanism of Action,Matrix metalloproteinase 9 inhibitor,Inhibition,
Mechanism of Action,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,Inhibition,
Mechanism of Action,Proteinase-activated receptor 1 antagonist,Antagonist,
Mechanism of Action,Serine/threonine-protein kinase PLK4 inhibitor,Inhibition,
Mechanism of Action,P2X purinoceptor 7 negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Tyrosine-protein kinase receptor UFO inhibitor,Inhibition,
Mechanism of Action,LDL-associated phospholipase A2 inhibitor,Inhibition,
Mechanism of Action,CD22 binding agent,Binding agent,
Mechanism of Action,Mesothelin binding agent,Binding agent,
Mechanism of Action,Calcitonin gene-related peptide antagonist,Antagonist,
Mechanism of Action,Platelet-derived growth factor receptor alpha inhibitor,Inhibition,
Mechanism of Action,Sphingosine 1-phosphate receptor Edg-1 modulator,Modulator,
Mechanism of Action,Melanocortin receptor 4 agonist,Agonist,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 17 binding agent,Binding agent,
Mechanism of Action,Stromal cell-derived factor 1 inhibitor,Inhibition,
Mechanism of Action,Programmed cell death 1 ligand 1 inhibitor,Inhibition,
Mechanism of Action,Serotonin 1f (5-HT1f) receptor agonist,Agonist,
Mechanism of Action,Ephrin type-A receptor 2 inhibitor,Inhibition,
Mechanism of Action,CDK6/cyclin D1 inhibitor,Inhibition,
Mechanism of Action,Cyclin-dependent kinase 4/cyclin D1 inhibitor,Inhibition,
Mechanism of Action,cAMP-dependent protein kinase (PKA) inhibitor,Inhibition,
Mechanism of Action,Tyrosine-protein kinase JAK3 inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 8 agonist,Agonist,
Mechanism of Action,Dopamine D2 receptor partial agonist,Partial agonist,
Mechanism of Action,Caspase-1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-8 inhibitor,Inhibition,
Mechanism of Action,Prostaglandin-H2 D-isomerase inhibitor,Inhibition,
Mechanism of Action,Uridine 5'-monophosphate synthase inhibitor,Inhibition,
Mechanism of Action,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-3 receptor subunit alpha inhibitor,Inhibition,
Mechanism of Action,Fast skeletal troponin complex activator,Activation,
Mechanism of Action,T-cell surface glycoprotein CD3 epsilon chain binding agent,Binding agent,
Mechanism of Action,Retinoid receptor agonist,Agonist,
Mechanism of Action,Serine/threonine-protein kinase RAF inhibitor,Inhibition,
Mechanism of Action,Dopamine D4 receptor agonist,Agonist,
Mechanism of Action,Killer cell immunoglobulin-like receptor 2DL3 inhibitor,Inhibition,
Mechanism of Action,Transforming growth factor beta-1 inhibitor,Inhibition,
Mechanism of Action,Angiopoietin-1 inhibitor,Inhibition,
Mechanism of Action,Transforming growth factor beta binding agent,Binding agent,
Mechanism of Action,Phosphodiesterase 4D inhibitor,Inhibition,
Mechanism of Action,DNA topoisomerase I stabiliser,Stabiliser,
Mechanism of Action,RNA and DNA synthesis inhibitor,Inhibition,
Mechanism of Action,Prostanoid EP1 receptor agonist,Agonist,
Mechanism of Action,Integrin alpha-V/beta-3 inhibitor,Inhibition,
Mechanism of Action,Androgen Receptor modulator,Modulator,
Mechanism of Action,MAP kinase ERK1 inhibitor,Inhibition,
Mechanism of Action,Vasopressin V1a receptor antagonist,Antagonist,
Mechanism of Action,Retinoid X receptor alpha modulator,Modulator,
Mechanism of Action,Mucin-5AC binding agent,Binding agent,
Mechanism of Action,Hepatocyte nuclear factor 4-alpha activator,Activation,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 5 inhibitor,Inhibition,
Mechanism of Action,Sodium/glucose cotransporter 2 inhibitor,Inhibition,
Mechanism of Action,Receptor protein-tyrosine kinase erbB-2 negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Delta opioid receptor agonist,Agonist,
Mechanism of Action,Dopamine D2 receptor inhibitor,Inhibition,
Mechanism of Action,Fibrinogen inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase Aurora-A inhibitor,Inhibition,
Mechanism of Action,GABA-B receptor 1 agonist,Agonist,
Mechanism of Action,Carbonic anhydrase I inhibitor,Inhibition,
Mechanism of Action,Myeloid cell surface antigen CD33 binding agent,Binding agent,
Mechanism of Action,Calcitonin gene-related peptide inhibitor,Inhibition,
Mechanism of Action,Interleukin-2 receptor beta chain inhibitor,Inhibition,
Mechanism of Action,Fibronectin binding agent,Binding agent,
Mechanism of Action,Delta-like protein 3 binding agent,Binding agent,
Mechanism of Action,Renin inhibitor,Inhibition,
Mechanism of Action,Serum amyloid P-component cross-linking agent,Cross-linking agent,
Mechanism of Action,IL-1 receptor antagonist,Antagonist,
Mechanism of Action,RANKL antagonist,Antagonist,
Mechanism of Action,Vascular endothelial growth factor A antagonist,Antagonist,
Mechanism of Action,Plasma kallikrein inhibitor,Inhibition,
Mechanism of Action,Adenosine receptor agonist,Agonist,
Mechanism of Action,Beta-2 adrenergic receptor partial agonist,Partial agonist,
Mechanism of Action,Integrin alpha-L/beta-2 (LFA-1) inhibitor,Inhibition,
Mechanism of Action,Vanilloid receptor opener,Opener,
Mechanism of Action,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,Inhibition,
Mechanism of Action,Receptor protein-tyrosine kinase erbB-4 inhibitor,Inhibition,
Mechanism of Action,Adenosine A3 receptor antagonist,Antagonist,
Mechanism of Action,Histamine H4 receptor antagonist,Antagonist,
Mechanism of Action,Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist,Partial agonist,
Mechanism of Action,Neuronal acetylcholine receptor protein alpha-7 subunit agonist,Agonist,
Mechanism of Action,Cystic fibrosis transmembrane conductance regulator activator,Activation,
Mechanism of Action,Toll-like receptor 5 agonist,Agonist,
Mechanism of Action,Beta amyloid A4 protein binding agent,Binding agent,
Mechanism of Action,Thromboxane-A synthase inhibitor,Inhibition,
Mechanism of Action,Dopamine D1 and D2 receptor antagonist,Antagonist,
Mechanism of Action,Gonadotropin-releasing hormone receptor agonist,Agonist,
Mechanism of Action,Parathyroid hormone receptor agonist,Agonist,
Mechanism of Action,Cell surface A33 antigen binding agent,Binding agent,
Mechanism of Action,Hemoglobin beta chain positive modulator,Positive modulator,
Mechanism of Action,C5a anaphylatoxin chemotactic receptor inhibitor,Inhibition,
Mechanism of Action,Lymphocyte differentiation antigen CD38 binding agent,Binding agent,
Mechanism of Action,Glucagon-like peptide 1 receptor antagonist,Antagonist,
Mechanism of Action,Histone-lysine N-methyltransferase EZH2 inhibitor,Inhibition,
Mechanism of Action,Myristoylated alanine-rich C-kinase substrate inhibitor,Inhibition,
Mechanism of Action,Voltage-dependent inhibition,Inhibition,
Mechanism of Action,Mineralocorticoid receptor agonist,Agonist,
Mechanism of Action,Phosphodiesterase 8 inhibitor,Inhibition,
Mechanism of Action,Neurotrophic tyrosine kinase receptor type 2 inhibitor,Inhibition,
Mechanism of Action,Caspase-8 inhibitor,Inhibition,
Mechanism of Action,Bcl-2-like protein 10 inhibitor,Inhibition,
Mechanism of Action,Bone morphogenetic protein 10 inhibitor,Inhibition,
Mechanism of Action,Metabotropic glutamate receptor 2 positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Human immunodeficiency virus type 1 integrase inhibitor,Inhibition,
Mechanism of Action,Muscarinic acetylcholine receptor M3 partial agonist,Partial agonist,
Mechanism of Action,Cancer/testis antigen 1 vaccine antigen,Vaccine antigen,
Mechanism of Action,Notch signaling pathway inhibitor,Inhibition,
Mechanism of Action,HER2 antagonist,Antagonist,
Mechanism of Action,Alpha-1a adrenergic receptor agonist,Agonist,
Mechanism of Action,Sodium channel protein type V alpha subunit blocker,Blocker,
Mechanism of Action,Vitamin K-dependent gamma-carboxylase inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor ligand superfamily member 13 inhibitor,Inhibition,
Mechanism of Action,High affinity immunoglobulin gamma Fc receptor I cross-linking agent,Cross-linking agent,
Mechanism of Action,Leukocyte common antigen binding agent,Binding agent,
Mechanism of Action,Matrix metalloproteinase 3 inhibitor,Inhibition,
Mechanism of Action,Elongation factor 2 inhibitor,Inhibition,
Mechanism of Action,Kir3.1/Kir3.4 blocker,Blocker,
Mechanism of Action,P-selectin glycoprotein ligand 1 inhibitor,Inhibition,
Mechanism of Action,Protein P inhibitor,Inhibition,
Mechanism of Action,Somatostatin receptor agonist,Agonist,
Mechanism of Action,Leptin receptor agonist,Agonist,
Mechanism of Action,CDK4/6 inhibitor,Inhibition,
Mechanism of Action,mTOR inhibitor,Inhibition,
Mechanism of Action,Tyrosine-protein kinase ABL inhibitor,Inhibition,
Mechanism of Action,D2-like dopamine receptor inverse agonist,Inverse agonist,
Mechanism of Action,Choline kinase alpha inhibitor,Inhibition,
Mechanism of Action,Peroxisome proliferator-activated receptor agonist,Agonist,
Mechanism of Action,Solute carrier family 22 member 12 inhibitor,Inhibition,
Mechanism of Action,Vascular endothelial growth factor A inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 18 agonist,Agonist,
Mechanism of Action,c-Jun N-terminal kinase 1 inhibitor,Inhibition,
Mechanism of Action,Adenosine A1 receptor agonist,Agonist,
Mechanism of Action,Nociceptin receptor agonist,Agonist,
Mechanism of Action,Free fatty acid receptor 1 positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Alpha-synuclein inhibitor,Inhibition,
Mechanism of Action,Envelope glycoprotein inhibitor,Inhibition,
Mechanism of Action,Aurora A and VEGFR/FGFR kinase inhibitor,Inhibition,
Mechanism of Action,Cystic fibrosis transmembrane conductance regulator inhibitor,Inhibition,
Mechanism of Action,Thyroid hormone receptor beta-1 agonist,Agonist,
Mechanism of Action,Estrogen receptor alpha antagonist,Antagonist,
Mechanism of Action,Serotonin 4 (5-HT4) receptor partial agonist,Partial agonist,
Mechanism of Action,Cyclin-dependent kinase 2 inhibitor,Inhibition,
Mechanism of Action,Intermediate conductance calcium-activated potassium channel protein 4 blocker,Blocker,
Mechanism of Action,Diamine oxidase activator,Activation,
Mechanism of Action,Transient receptor potential cation channel subfamily A member 1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-18 cross-linking agent,Cross-linking agent,
Mechanism of Action,Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET inhibitor,Inhibition,
Mechanism of Action,5'-nucleotidase inhibitor,Inhibition,
Mechanism of Action,Muscarinic acetylcholine receptor M1 positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Menin/Histone-lysine N-methyltransferase MLL inhibitor,Inhibition,
Mechanism of Action,Cleavage and polyadenylation specificity factor subunit inhibitor,Inhibition,
Mechanism of Action,IgG receptor FcRn large subunit p51 antagonist,Antagonist,
Mechanism of Action,Estrogen receptor antagonist,Antagonist,
Mechanism of Action,Potassium channel subfamily K member 10 opener,Opener,
Mechanism of Action,Focal adhesion kinase 1 inhibitor,Inhibition,
Mechanism of Action,Voltage-gated calcium channel alpha2/delta subunit 1 modulator,Modulator,
Mechanism of Action,Induced myeloid leukemia cell differentiation protein Mcl-1 inhibitor,Inhibition,
Mechanism of Action,Apoptosis regulator Bcl-X inhibitor,Inhibition,
Mechanism of Action,Thymic stromal lymphopoietin inhibitor,Inhibition,
Mechanism of Action,Tissue factor pathway inhibitor inhibitor,Inhibition,
Mechanism of Action,Lysophosphatidic acid receptor Edg-2 antagonist,Antagonist,
Mechanism of Action,Complement C5 inhibitor,Inhibition,
Mechanism of Action,Granulocyte colony stimulating factor receptor agonist,Agonist,
Mechanism of Action,Transient receptor potential cation channel subfamily V member 4 antagonist,Antagonist,
Mechanism of Action,Peroxisome proliferator-activated receptor gamma modulator,Modulator,
Mechanism of Action,Histamine H3 receptor inverse agonist,Inverse agonist,
Mechanism of Action,Endosialin inhibitor,Inhibition,
Mechanism of Action,Sphingosine 1-phosphate receptor modulator,Modulator,
Mechanism of Action,Hepatocyte growth factor receptor agonist,Agonist,
Mechanism of Action,Low affinity immunoglobulin gamma Fc region receptor II-b inhibitor,Inhibition,
Mechanism of Action,Protease inhibitor,Inhibition,
Mechanism of Action,Akt inhibitor,Inhibition,
Mechanism of Action,Sodium channel protein type X alpha subunit blocker,Blocker,
Mechanism of Action,Ephrin receptor inhibitor,Inhibition,
Mechanism of Action,Frizzled-8 antagonist,Antagonist,
Mechanism of Action,GABA receptor beta-3 subunit positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Basigin other,Binding,
Mechanism of Action,Neuronal acetylcholine receptor; alpha3/beta4 partial agonist,Partial agonist,
Mechanism of Action,P-selectin antagonist,Antagonist,
Mechanism of Action,Endoglin inhibitor,Inhibition,
Mechanism of Action,T-cell differentiation antigen CD6 binding agent,Binding agent,
Mechanism of Action,Envelope polyprotein GP160 inhibitor,Inhibition,
Mechanism of Action,DNA intercalator and TOPO II inhibitor,Inhibition,
Mechanism of Action,Sigma opioid receptor agonist,Agonist,
Mechanism of Action,Interleukin-2 receptor agonist,Agonist,
Mechanism of Action,c-Jun N-terminal kinase 2 inhibitor,Inhibition,
Mechanism of Action,Vascular endothelial growth factor receptor 1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-1 beta negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,11-beta-hydroxysteroid dehydrogenase inhibitor,Inhibition,
Mechanism of Action,C-C chemokine receptor type 1 antagonist,Antagonist,
Mechanism of Action,Ryanodine receptor 1 antagonist,Antagonist,
Mechanism of Action,Histone deacetylase 6 inhibitor,Inhibition,
Mechanism of Action,Exportin-1 inhibitor,Inhibition,
Mechanism of Action,Vascular endothelial growth factor receptor 1 antagonist,Antagonist,
Mechanism of Action,Epithelial cell adhesion molecule other,Binding,
Mechanism of Action,"Troponin, cardiac muscle positive modulator",Positive modulator,
Mechanism of Action,Fibroblast growth factor receptor 2 binding agent,Binding agent,
Mechanism of Action,IL22 Receptor agonist,Agonist,
Mechanism of Action,C-X-C chemokine receptor type 4 partial agonist,Partial agonist,
Mechanism of Action,Integrin alpha-4/beta-1 inhibitor,Inhibition,
